title,category_name,category_slug,price_uah,weight,pieces,description_items,url,image
Чіз з крабовим міксом,Авторські роли,avtorski-roli,199,,,рис; норі; мигдаль; краб; ікра масаго; огірок; соус сирний.,https://sushilubin.com.ua/offer/ciz-z-krabovim-miksom,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=4e32dcfe-33a4-4b63-8999-7d8d5e23a66a
Чіз з печеним лососем,Авторські роли,avtorski-roli,185,300-330 гр,,печений лосось; огірок; крем-сир; сир хохланд; сирний соус; норі; рис.,https://sushilubin.com.ua/offer/ciz-z-pecenim-lososem,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=5fed0df6-f9dc-440f-bdd0-fa6a99dcabc5
Футомак Бостон,Авторські роли,avtorski-roli,230,280-300 гр,,лосось; соус шрірача; огірок; салат вакаме; соус япі; масаго; норі; рис.,https://sushilubin.com.ua/offer/futomak-boston,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=6a583bc1-e4d6-41ff-bab3-ecd8f195905c
Футомак сакура хіяші,Авторські роли,avtorski-roli,180,260 гр,,масаго оранж; огірок; салат вакаме; кремсир; норі; рис.,https://sushilubin.com.ua/offer/futomak-sakura-hiasi,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=30d81864-0384-4d54-9545-04bcfd7152ce
Рол Бостон,Авторські роли,avtorski-roli,250,280-300 гр,,лосось слабосолений; крем-сир; огірок; горіховий соус; авокадо; кунжут; норі; рис.,https://sushilubin.com.ua/offer/rol-boston,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=0c1b8791-8bb1-4b3c-9df4-f3f0c649b6f0
Рол Де Маре,Авторські роли,avtorski-roli,280,300 гр,,Восьменіжки; креветка; лосось; кунжут; Унагі соус; сир; салат чука; авокадо; огірок; норі; рис.,https://sushilubin.com.ua/offer/rol-de-mare,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=7f65dd15-83f2-4189-a652-17a640f85614
Рол Дофу,Авторські роли,avtorski-roli,250,280 гр,,креветка в темпурі; огірок; крем-сир; соус сирний; сир хохланд; норі; рис.,https://sushilubin.com.ua/offer/rol-dofu,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=743c2501-b70f-4972-8a0b-ca870163f32b
Рол Гейша,Авторські роли,avtorski-roli,289,300-330 гр,,лосось; масляна; креветка; авокадо; ікра масаго; ікра лососева; огірок; крем-сир; норі; рис.,https://sushilubin.com.ua/offer/rol-gejsa,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=a207a19b-eb3a-4083-a3a6-f7b93945f57b
Рол Статус (без сиру),Авторські роли,avtorski-roli,350,280 гр,,вугор; лосось; авокадо; огірок; кунжут; унагі соус.,https://sushilubin.com.ua/offer/rol-status-bez-siru,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=97c0ae6b-2410-478d-afb7-51adc6bda05e
Рол Токіо,Авторські роли,avtorski-roli,560,450 гр,,риба; огірок; норі; хохланд пластина.,https://sushilubin.com.ua/offer/rol-tokio,https://firebasestorage.googleapis.com/v0/b/webui-f781c.appspot.com/o/velukuilubin%2Favtorski-roli%2F_.jpg?alt=media&token=e5992300-8470-4d08-850b-98ab4008751e
